,Time
0,15142.52001652494
1,14337.479980895296
2,14506.2769879587
3,14498.340024147183
4,12304.963980568573
5,11929.467000300065
6,11800.053005572408
7,12101.175001589581
8,11973.549000686035
9,11981.414980255067
10,12206.99999248609
11,12677.636987064034
12,12154.993979493156
13,11861.131992191076
14,11791.508994065225
15,11692.558007780463
16,11870.305024785921
17,11636.182985967025
18,12130.75200212188
19,12724.005995551124
20,11798.187013482675
21,11858.383979415521
22,11639.651987934485
23,11859.894002554938
24,11860.288010211661
25,11751.911020837724
26,11695.783003233373
27,11924.963007913902
28,11908.974993275478
29,11863.154999446124
30,11776.590021327138
31,11687.570018693805
32,11634.808004600927
33,11716.396984411404
34,11814.930010586977
35,11774.762999266386
36,11817.902995971963
37,12053.082988131791
38,12188.243010314181
39,12098.278006305918
40,12257.238995516673
41,11971.367988735437
42,11857.795994728804
43,11794.490012107417
44,11965.993006015196
45,11763.711023377255
46,14752.918010344729
47,11887.775006471202
48,12122.480984544381
49,11907.106993021443
50,11829.469003714621
51,12667.36799152568
52,12260.916002560407
53,14110.579009866342
54,11981.680989265442
55,12032.81301422976
56,11786.982999183238
57,12223.153986269608
58,12130.288989283144
59,11737.10500006564
60,11763.476009946316
61,11852.522991830483
62,11864.239000715315
63,11846.278008306399
64,11746.019998099655
65,11816.97499123402
66,11720.435984898359
67,11821.980006061494
68,11706.117016728967
69,11748.599994461983
70,11696.609988575801
71,11888.411012478173
72,11698.264017468318
73,12512.718996731564
74,13493.081991327927
75,12799.424002878368
76,12777.548021404073
77,11929.340980714187
78,20363.62301441841
79,14362.248010002077
80,12659.678992349654
81,14292.339998064563
82,13518.85701296851
83,12211.077002575621
84,12565.871002152562
85,18737.98802262172
86,13668.222003616393
87,12992.354982998222
88,12724.745000014082
89,12352.56899963133
90,11994.262982625514
91,11974.237015238032
92,12148.214998887852
93,11854.843003675342
94,11734.986997907981
95,11868.948000483215
96,11689.641018165275
97,11885.415995493531
98,11757.697007851675
99,11715.567990904674
100,11740.88500556536
101,11766.918993089348
102,11657.52302040346
103,11853.547010105103
104,11895.264004124328
105,11827.681999420747
106,11968.102015089244
107,11723.689996870235
108,11640.557990176603
109,11648.731015156955
110,11767.037998652086
111,11667.262995615602
112,11667.69998962991
113,11620.000994298607
114,22328.235005261377
115,12800.83999154158
116,12405.098008457571
117,11894.952011061832
118,11813.38500464335
119,11985.157005256042
120,11901.049001608044
121,12133.734999224544
122,12006.197997834533
123,11701.334005920216
124,11933.681002119556
125,11732.868006220087
126,11703.527998179197
127,11679.942981572822
128,12189.523986307904
129,11988.339974777773
130,12126.87199586071
131,12009.369005681947
132,11719.711008481681
133,13412.284984951839
134,12517.363007646054
135,11971.705011092126
136,11981.776013271883
137,11986.537021584809
138,12132.928997743875
139,11823.92900227569
140,11929.787986446172
141,11974.8110009823
142,11839.951999718323
143,11651.223001535982
144,11668.633000226691
145,11664.768011542037
146,11797.996005043387
147,11767.78698572889
148,11758.704989915714
149,11841.409024782479
150,11700.369010213763
151,11712.131003150716
152,11828.905990114436
153,13129.764993209392
154,14836.123998975381
155,16269.851010292768
156,15934.82299358584
157,15569.687995593995
158,15038.515004562214
159,15059.397992445156
160,15057.280019391328
161,14859.877002891153
162,15129.37800725922
163,15352.252987213433
164,15419.975010445341
165,18085.71701985784
166,14954.894984839484
167,15093.390014953911
