,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
0,0.0,1.0,-23.193132518486976,0.0,3.5906579239113978e-96
1,0.0,2.0,-29.97986634315215,0.0,6.315448830528475e-141
2,0.0,3.0,-24.12911187669563,0.0,4.483281034820704e-103
3,0.0,4.0,-19.276197672768802,0.0,9.553298486905081e-71
4,0.0,5.0,-29.77883287154753,0.0,8.684827626469767e-145
5,0.0,6.0,-28.12081517716939,0.0,7.935063244063314e-129
6,0.0,7.0,-22.863587883061903,0.0,1.730271557021396e-94
7,0.0,8.0,-19.967316590801207,0.0,9.50051606685024e-75
8,0.0,9.0,-40.46326825871496,0.0,1.414480802863995e-256
9,0.0,10.0,-39.740250040735695,0.0,4.01325841031054e-248
10,0.0,11.0,-30.448668256202918,0.0,7.247887389790429e-153
11,0.0,12.0,-14.826640442222335,0.0,3.916637663790154e-45
12,0.0,13.0,-34.96234103784177,0.0,4.059083405897838e-205
13,0.0,14.0,-37.205227213358064,0.0,2.3281138210059762e-226
14,0.0,15.0,-33.85996547950271,0.0,2.7463098109647017e-191
15,0.0,16.0,-35.22688307984025,0.0,8.148267279049136e-208
16,0.0,17.0,-33.910086127437005,0.0,5.252380609193195e-194
17,0.0,18.0,-38.56617033823496,0.0,3.15975178625196e-238
18,0.0,19.0,-35.654331652394305,0.0,1.28281358634733e-211
19,0.0,20.0,-32.90057563752644,0.0,3.347578315304768e-185
20,0.0,21.0,-38.218621027970016,0.0,6.948041933749457e-235
21,0.0,22.0,-38.56955333104609,0.0,2.2667814017061676e-237
22,0.0,23.0,-38.191463770321526,0.0,4.117300812876743e-234
23,0.0,24.0,-17.533606326044506,0.0,3.197155350540096e-60
24,0.0,25.0,-39.866968875422344,0.0,1.146162435418203e-250
25,0.0,26.0,-26.185728587373703,0.0,1.592041903127032e-116
26,0.0,27.0,-42.6646228164006,0.0,1.6729876026248505e-238
27,0.0,28.0,-41.94715470284806,0.0,1.0099982903653611e-261
